scenario,metadata,agg_method_name,min_acc_on_global_dataset,max_acc_on_clients_dataset,adaptation_stability,global_knowledge_drop
concurrent,weights,con_scaled_cgw,86.18139026645373,95.55125725338492,52.0,13.448768597125323
concurrent,weights,con_weighted_cw,69.86635286206607,95.35783365570599,11.0,29.76380600151299
concurrent,weights,con_capped_cgw,85.92082037488441,96.13152804642166,70.0,13.709338488694641
concurrent,weights,con_weighted_cgw,84.39942842733463,95.93810444874275,56.99999999999999,15.230730436244428
concurrent,weights,con_scaled_cw,69.65621585273598,95.35783365570599,30.0,29.973943010843072
concurrent,weights,con_capped_cw,74.10271497016055,96.13152804642166,27.0,25.527443893418507
sequential,weights,seq_incremental_update,54.39186349499874,90.52224371373308,0.0,45.23829536858032
sequential,weights,seq_equal_update,57.695217281667645,93.23017408123792,0.0,41.93494158191141
sequential,weights,seq_fixed_ratio_update,73.9682272841893,95.74468085106383,28.000000000000004,25.66193157938976
sequential,weights,seq_fedavg_update,72.79986551231403,95.93810444874275,36.0,26.830293351265027
sequential,delta,seq_delta_capped,78.22140035303018,95.93810444874275,54.0,21.40875851054888
sequential,delta,seq_delta_scaled,73.32100529545264,95.74468085106383,25.0,26.30915356812642
sequential,delta,seq_delta_progressive_update,57.53551315457679,90.71566731141199,0.0,42.094645709002265
sequential,delta,seq_delta_fedavg_update,75.0189123308397,95.93810444874275,39.0,24.611246532739358
concurrent,delta,con_delta_weighted_cgd,59.8554257375809,95.93810444874275,24.0,39.774733125998154
concurrent,delta,con_delta_capped_cgd,73.60679162814154,95.55125725338492,23.0,26.02336723543752
concurrent,delta,con_delta_scaled_cgd,71.90888459275448,95.55125725338492,21.0,27.72127427082458
